,id,pac,f16_Rating,f16_Crossing,f16_Finishing,f16_Heading,f16_Short_Pass,f16_Volleys,f16_Dribbling,f16_Curve,f16_Freekick_Accuracy,f16_Long_Pass,f16_Ball_Control,f16_Acceleration,f16_Speed,f16_Agility,f16_Reactions,f16_Balance,f16_Shot_Power,f16_Jumping,f16_Stamina,f16_Strength,f16_Long_shots,f16_Aggression,f16_Interceptions,f16_Attacking_Position,f16_Vision,f16_penalties,f16_Marking,f16_Standing_Tackle,f16_Sliding_Tackle,f16_GK_Diving,f16_GK_Handling,f16_GK_Kicking,f16_GK_Positioning,f16_GK_Reflexes,f16_Height,f16_Weight,f16_Age,f16_Att_WR,f16_Def_WR,f17_Rating,f17_Height,f17_Weight,f17_Age,f17_Weak_foot,f17_Skill_Moves,f17_Ball_Control,f17_Dribbling,f17_Marking,f17_Sliding_Tackle,f17_Standing_Tackle,f17_Aggression,f17_Reactions,f17_Attacking_Position,f17_Interceptions,f17_Vision,f17_Composure,f17_Crossing,f17_Short_Pass,f17_Long_Pass,f17_Acceleration,f17_Speed,f17_Stamina,f17_Strength,f17_Balance,f17_Agility,f17_Jumping,f17_Heading,f17_Shot_Power,f17_Finishing,f17_Long_Shots,f17_Curve,f17_Freekick_Accuracy,f17_Penalties,f17_Volleys,f17_GK_Positioning,f17_GK_Diving,f17_GK_Kicking,f17_GK_Handling,f17_GK_Reflexes,f17_Att_WR,f17_Def_WR,f16_Att_WR_indexed,f17_Att_WR_indexed,f16_Def_WR_indexed,f17_Def_WR_indexed,f16_Att_WR_he,f17_Att_WR_he,f16_Def_WR_he,f17_Def_WR_he,pac_pred
10,203574,71,77,62,29,74,78,27,66,26,29,64,75,72,72,63,76,54,46,72,76,77,41,70,75,48,59,37,79,80,81,7,15,11,10,8,187,165,21,high,medium,80,188,165,22,3,2,79,70,80,81,83,73,77,48,77,59,81,62,80,71,75,75,80,78,57,64,72,77,46,29,38,46,29,37,27,10,7,11,15,8,high,medium,1.0,1.0,0.0,0.0,"(2,[1],[1.0])","(2,[1],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])",70.93976048461342
11,202811,71,65,22,16,26,27,23,13,22,20,46,26,59,57,49,57,49,28,60,14,70,26,37,13,12,19,42,12,20,20,68,63,74,63,69,193,187,23,medium,medium,69,193,187,24,3,1,26,13,12,20,20,37,57,12,13,49,37,22,27,46,59,57,14,70,49,49,60,26,28,16,26,22,20,42,23,66,71,73,66,72,medium,medium,0.0,0.0,0.0,0.0,"(2,[0],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])",72.00567234848486
12,3484,33,75,63,29,77,61,32,46,55,35,58,68,42,32,51,74,54,49,61,66,77,23,78,77,32,55,47,77,79,76,9,14,13,10,14,190,185,34,medium,high,74,190,185,35,3,2,64,46,76,73,78,75,71,32,76,55,69,53,61,57,34,32,34,77,54,49,61,77,49,29,23,51,35,47,32,10,9,13,14,14,medium,high,0.0,0.0,1.0,1.0,"(2,[0],[1.0])","(2,[0],[1.0])","(2,[1],[1.0])","(2,[1],[1.0])",35.7765625
13,186200,77,76,70,76,75,75,75,77,65,61,62,75,79,77,78,77,64,76,71,75,66,66,70,30,78,69,81,13,26,24,11,6,8,12,6,180,163,24,medium,medium,76,180,163,26,3,3,75,77,13,24,26,70,77,78,30,69,74,70,75,62,79,77,75,66,64,78,71,75,76,76,66,65,61,81,75,12,11,8,6,6,high,medium,0.0,1.0,0.0,0.0,"(2,[0],[1.0])","(2,[1],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])",76.72903846153847
14,153079,87,87,70,90,68,83,85,89,82,72,63,89,92,86,86,87,90,85,76,69,71,81,57,24,90,83,83,13,20,12,13,15,6,11,14,172,163,27,high,medium,89,173,154,28,4,4,89,89,13,12,20,57,88,91,24,83,90,70,79,63,92,86,74,73,90,86,80,68,87,90,84,82,72,80,85,11,13,6,15,14,high,medium,1.0,1.0,0.0,0.0,"(2,[1],[1.0])","(2,[1],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])",86.76116071428571
15,164459,56,74,90,72,66,76,74,74,86,84,74,77,51,62,65,76,75,81,70,79,67,79,82,59,70,78,78,64,61,60,7,11,14,14,8,177,154,30,medium,medium,75,178,154,31,3,2,77,74,64,60,61,82,76,70,59,78,75,90,76,74,51,55,79,67,75,65,70,66,81,72,79,86,84,78,74,14,7,14,11,8,medium,medium,0.0,0.0,0.0,0.0,"(2,[0],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])",52.93855651293152
16,189324,76,75,11,17,16,33,12,17,15,18,35,17,58,56,35,69,43,20,68,35,63,14,35,22,16,50,41,13,13,12,79,73,61,74,81,193,174,25,medium,medium,76,193,174,27,2,1,17,17,13,12,13,35,69,16,22,50,63,11,33,35,58,56,35,63,43,35,68,16,20,17,14,15,18,41,12,74,78,61,73,81,medium,medium,0.0,0.0,0.0,0.0,"(2,[0],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])",76.06541666666666
17,176550,83,78,11,10,15,36,12,12,10,13,32,32,34,34,44,70,50,35,75,29,38,12,20,25,16,40,26,10,13,12,83,71,78,77,84,182,174,27,medium,medium,79,183,176,28,3,1,32,12,10,12,13,20,70,16,25,40,29,11,36,32,34,34,29,38,50,44,75,15,35,10,12,10,13,26,12,77,83,78,71,84,medium,medium,0.0,0.0,0.0,0.0,"(2,[0],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])",81.2375
18,179746,58,71,51,74,78,64,63,66,47,46,55,72,61,65,61,68,53,71,85,78,82,63,73,42,73,62,71,42,29,24,13,14,9,9,7,187,198,25,high,medium,73,188,198,27,3,2,73,66,42,24,29,73,68,74,42,67,68,58,67,57,55,65,79,82,53,55,85,78,75,74,63,47,46,74,67,9,13,9,14,7,high,medium,1.0,1.0,0.0,0.0,"(2,[1],[1.0])","(2,[1],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])",59.58387698358287
19,225539,75,65,49,65,62,60,59,66,42,39,43,72,78,73,65,50,70,65,73,50,67,59,31,22,65,53,70,24,15,22,9,15,14,9,10,185,165,18,medium,medium,69,185,165,19,3,3,76,73,24,22,15,31,54,64,22,63,52,54,71,58,78,75,65,68,70,73,69,62,68,69,59,54,42,71,67,9,9,14,15,10,medium,medium,0.0,0.0,0.0,0.0,"(2,[0],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])",74.46991504721124
20,155976,43,75,82,74,69,81,75,72,79,76,81,76,55,46,63,68,68,85,66,59,77,81,88,60,77,84,83,58,61,57,8,7,9,6,6,185,181,29,medium,low,76,185,181,31,3,3,76,72,58,57,61,88,68,77,60,81,74,82,81,81,55,46,65,77,68,63,66,69,85,74,81,79,76,83,75,6,8,9,7,6,medium,low,0.0,0.0,2.0,2.0,"(2,[0],[1.0])","(2,[0],[1.0])","(2,[],[])","(2,[],[])",47.696842532467535
21,166838,71,71,70,70,66,68,49,75,60,69,59,73,78,76,84,60,66,67,63,78,66,66,60,37,70,67,64,30,44,31,14,15,13,8,10,180,159,28,high,medium,72,180,159,29,4,4,73,77,30,31,44,60,60,70,37,67,66,70,68,59,75,74,78,66,66,84,63,66,67,68,66,60,69,64,49,8,14,13,15,10,high,medium,1.0,1.0,0.0,0.0,"(2,[1],[1.0])","(2,[1],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])",71.61247636554621
22,140415,46,77,65,55,41,85,47,76,61,58,79,81,67,67,77,78,91,51,70,75,58,48,77,73,55,82,59,70,75,69,10,16,7,7,15,167,143,33,low,medium,77,167,143,34,3,3,81,76,70,69,75,77,78,55,73,82,86,65,85,79,52,54,70,58,91,77,70,41,51,55,48,61,58,59,47,7,10,7,16,15,low,medium,2.0,2.0,0.0,0.0,"(2,[],[])","(2,[],[])","(2,[0],[1.0])","(2,[0],[1.0])",49.3616341991342
23,168542,68,88,85,72,54,92,80,87,83,77,85,91,79,68,93,84,88,71,66,68,56,79,51,41,83,93,77,23,30,29,1,1,1,1,1,170,148,29,high,low,87,173,148,31,2,4,90,85,23,29,42,51,84,81,41,92,92,85,91,78,72,65,68,56,88,92,66,54,71,70,74,83,77,77,80,1,1,1,1,1,high,low,1.0,1.0,2.0,2.0,"(2,[1],[1.0])","(2,[1],[1.0])","(2,[],[])","(2,[],[])",68.6147427505093
24,186521,54,76,51,39,79,76,51,40,51,42,63,63,62,68,70,64,51,56,76,71,81,42,78,73,33,53,52,80,76,74,11,15,12,9,12,193,187,26,medium,high,78,192,185,27,3,2,63,40,80,75,80,82,64,33,74,49,73,51,75,62,61,66,63,87,44,55,76,78,56,39,42,51,42,52,44,9,11,12,15,12,medium,high,0.0,0.0,1.0,1.0,"(2,[0],[1.0])","(2,[0],[1.0])","(2,[1],[1.0])","(2,[1],[1.0])",56.64214656609818
25,189242,82,84,74,70,47,85,75,87,84,72,78,88,89,77,91,75,91,79,59,73,55,80,35,30,76,87,64,24,38,35,12,7,9,14,6,170,150,23,high,low,86,171,150,24,4,4,88,88,24,40,44,55,81,83,30,87,79,77,85,78,89,77,79,61,91,91,59,47,79,73,85,84,79,64,75,14,12,9,7,6,high,high,1.0,1.0,2.0,1.0,"(2,[1],[1.0])","(2,[1],[1.0])","(2,[],[])","(2,[1],[1.0])",78.8125
26,199422,63,78,70,26,27,84,73,71,80,70,79,81,68,65,75,79,90,77,56,83,69,71,86,81,65,84,64,64,73,61,11,11,14,10,7,170,154,24,medium,high,78,169,146,25,4,2,80,70,64,61,73,85,79,65,80,83,71,70,81,78,68,65,76,69,90,75,56,27,77,34,71,80,70,64,73,10,11,14,11,7,medium,high,0.0,0.0,1.0,1.0,"(2,[0],[1.0])","(2,[0],[1.0])","(2,[1],[1.0])","(2,[1],[1.0])",65.5228175669794
27,187489,60,71,66,61,71,75,63,68,50,54,73,73,54,63,61,73,58,69,70,81,78,60,85,65,65,68,47,61,68,60,13,9,14,15,12,187,190,26,medium,high,72,189,190,27,3,2,73,68,61,60,68,86,73,65,65,68,75,66,75,73,54,55,81,78,58,58,70,71,69,61,60,50,54,47,63,15,13,14,9,12,medium,high,0.0,0.0,1.0,1.0,"(2,[0],[1.0])","(2,[0],[1.0])","(2,[1],[1.0])","(2,[1],[1.0])",58.47752460774518
28,203376,73,77,53,53,74,71,43,69,60,70,76,70,66,67,57,69,51,81,76,72,92,64,74,78,41,59,64,77,79,74,13,10,13,11,11,193,203,24,high,medium,82,193,203,25,3,2,71,69,82,81,85,76,74,41,83,59,87,53,74,76,74,76,72,92,51,57,81,76,81,55,64,60,70,62,45,11,13,13,10,11,high,medium,1.0,1.0,0.0,0.0,"(2,[1],[1.0])","(2,[1],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])",71.30264308608058
29,205540,85,71,66,65,35,65,50,77,65,24,56,74,86,86,74,64,80,68,60,69,71,65,34,46,67,54,57,45,55,53,13,15,7,13,13,175,179,19,medium,medium,71,175,179,21,4,3,74,77,45,53,55,50,64,67,46,54,62,66,65,56,86,86,69,71,80,75,60,35,79,65,68,65,24,57,50,13,13,7,15,13,medium,medium,0.0,0.0,0.0,0.0,"(2,[0],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])",83.98113095238095
30,222634,84,70,57,68,62,55,51,74,56,44,44,72,84,87,76,65,57,80,81,66,83,59,46,21,67,54,68,23,33,24,8,15,14,8,10,185,190,19,medium,medium,74,182,198,21,3,3,79,77,22,24,33,45,68,72,20,61,46,73,68,55,85,89,65,83,57,78,82,64,80,69,58,56,54,68,55,8,8,14,15,10,medium,medium,0.0,0.0,0.0,0.0,"(2,[0],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])",83.99252705627705
31,163824,65,81,32,37,82,70,34,57,34,23,74,69,68,74,58,77,59,64,86,73,86,40,83,83,28,53,45,76,85,79,7,10,16,7,10,182,201,31,medium,high,83,182,201,32,4,2,69,57,81,80,85,83,81,28,83,53,80,32,72,74,68,72,73,86,59,58,86,79,64,37,40,34,23,45,34,7,7,16,10,10,medium,high,0.0,0.0,1.0,1.0,"(2,[0],[1.0])","(2,[0],[1.0])","(2,[1],[1.0])","(2,[1],[1.0])",65.16133702295443
32,170084,73,73,11,19,14,12,15,11,12,14,13,19,50,41,50,64,51,34,41,29,68,14,21,22,14,65,17,15,18,13,72,74,82,76,72,198,198,28,medium,medium,75,198,198,30,3,1,12,8,15,13,18,21,61,14,22,58,48,11,12,13,40,41,29,68,51,50,41,14,34,12,10,12,11,17,10,76,74,82,76,74,medium,medium,0.0,0.0,0.0,0.0,"(2,[0],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])",72.88793706293707
33,184749,62,71,68,64,61,73,64,66,57,57,71,71,66,64,65,69,72,71,67,74,64,73,76,70,77,73,61,66,68,68,6,15,14,15,6,182,174,25,medium,medium,73,183,174,27,3,3,71,66,66,68,68,76,69,77,71,73,77,68,73,71,66,64,77,64,72,65,67,61,71,65,73,57,57,61,64,15,6,14,15,6,medium,medium,0.0,0.0,0.0,0.0,"(2,[0],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])",62.51312734118672
34,204210,46,74,58,54,74,64,53,60,35,46,64,63,55,55,51,70,53,37,64,75,81,49,73,73,37,40,50,76,76,76,10,9,16,15,11,193,194,26,medium,high,73,193,185,28,3,2,63,59,73,71,73,73,70,37,72,40,64,58,64,64,55,53,69,78,53,51,62,74,37,54,49,35,46,50,53,15,10,16,9,11,medium,high,0.0,0.0,1.0,1.0,"(2,[0],[1.0])","(2,[0],[1.0])","(2,[1],[1.0])","(2,[1],[1.0])",53.45560515873016
35,184111,73,82,58,82,85,72,74,75,60,67,48,81,75,79,74,75,48,85,82,77,92,76,76,29,81,73,77,25,30,18,14,5,12,8,5,190,183,24,medium,medium,81,190,183,26,4,3,80,72,25,18,30,65,71,76,29,73,78,58,72,48,75,79,77,90,48,74,82,86,85,79,76,60,67,77,74,8,14,12,5,5,medium,medium,0.0,0.0,0.0,0.0,"(2,[0],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])",72.96783730158731
36,189505,82,83,78,80,55,83,70,84,81,57,74,85,86,79,84,85,82,71,67,78,55,73,56,49,84,74,66,30,32,31,5,11,12,15,9,167,137,28,high,medium,83,167,137,29,5,4,85,84,30,31,32,56,83,84,49,74,72,78,83,70,86,80,80,56,82,84,67,55,71,81,73,81,57,66,70,15,5,12,11,9,high,medium,1.0,1.0,0.0,0.0,"(2,[1],[1.0])","(2,[1],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])",82.17545454545454
37,169600,69,71,68,27,70,62,50,64,44,32,57,63,76,71,63,73,81,37,78,79,71,54,77,65,58,63,54,70,75,74,10,15,13,9,11,177,170,28,medium,medium,75,177,172,30,3,2,67,64,75,76,77,79,75,58,77,63,60,68,64,58,76,72,79,72,81,64,79,70,37,27,54,44,32,54,50,9,10,13,15,11,low,medium,0.0,2.0,0.0,0.0,"(2,[0],[1.0])","(2,[],[])","(2,[0],[1.0])","(2,[0],[1.0])",70.63418956043957
38,177358,68,82,67,64,65,83,56,73,68,61,83,79,69,59,66,82,66,71,72,90,78,56,85,86,67,75,56,77,84,82,6,11,12,14,7,180,165,25,medium,high,82,185,165,27,3,2,79,75,76,80,82,84,81,67,84,73,81,65,83,79,69,66,90,77,71,73,72,71,71,64,56,68,61,56,56,14,6,12,11,7,medium,high,0.0,0.0,1.0,1.0,"(2,[0],[1.0])","(2,[0],[1.0])","(2,[1],[1.0])","(2,[1],[1.0])",65.1769922191294
39,210389,83,58,65,35,35,51,23,46,61,27,51,55,77,79,56,59,75,40,64,70,46,49,49,48,55,44,40,53,56,52,14,12,15,13,8,175,154,21,medium,medium,65,176,154,22,3,2,56,55,53,58,60,70,62,59,62,50,40,77,62,60,81,83,79,62,75,75,64,35,40,42,49,63,27,40,23,13,14,15,12,8,medium,medium,0.0,0.0,0.0,0.0,"(2,[0],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])",81.45753968253969
40,190456,83,81,80,54,66,76,45,78,64,39,67,76,87,86,84,75,76,74,73,87,71,69,76,76,64,64,46,80,83,86,10,11,13,15,7,175,148,24,high,medium,82,175,148,25,3,3,75,77,81,86,83,76,75,72,77,64,75,80,76,67,86,86,87,71,76,84,67,66,74,54,69,64,39,46,45,15,10,13,11,7,high,medium,1.0,1.0,0.0,0.0,"(2,[1],[1.0])","(2,[1],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])",83.39974025974024
41,194334,64,71,35,35,72,59,29,53,43,33,61,64,66,64,62,67,44,42,62,67,73,30,67,72,40,60,38,75,74,70,15,8,15,6,10,190,185,24,medium,medium,73,190,185,26,3,2,64,55,75,70,74,72,67,40,73,60,68,35,59,61,66,65,67,73,50,62,68,76,45,36,32,41,32,37,29,6,15,15,8,10,medium,medium,0.0,0.0,0.0,0.0,"(2,[0],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])",63.28135041765137
42,197756,76,76,70,77,77,76,74,77,77,71,60,76,77,77,81,77,72,76,70,71,74,75,75,33,74,68,74,23,22,25,6,8,7,16,8,182,179,24,medium,medium,76,182,179,25,3,4,78,80,23,25,22,75,76,72,35,70,70,70,74,60,77,77,74,74,72,81,72,76,76,73,74,77,71,74,74,16,6,7,8,8,high,medium,0.0,1.0,0.0,0.0,"(2,[0],[1.0])","(2,[1],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])",75.23667735042736
43,54033,43,74,76,60,72,81,79,66,68,74,79,82,34,50,34,73,44,91,57,41,87,75,77,74,63,84,72,70,68,66,10,7,11,9,11,187,176,28,low,medium,75,188,176,30,5,3,82,66,70,66,68,77,73,63,74,84,78,76,81,79,34,50,41,87,44,34,57,72,91,60,75,68,74,72,79,9,10,11,7,11,low,medium,2.0,2.0,0.0,0.0,"(2,[],[])","(2,[],[])","(2,[0],[1.0])","(2,[0],[1.0])",42.946875
44,122849,76,76,61,75,73,65,71,78,57,56,49,75,75,81,75,75,61,84,78,73,84,70,47,28,77,66,67,22,43,26,10,6,7,12,7,182,179,31,medium,medium,75,182,179,33,4,3,75,75,22,26,43,47,71,73,28,66,72,61,67,49,75,78,73,84,61,75,78,72,80,73,70,57,56,67,71,12,10,7,6,7,medium,medium,0.0,0.0,0.0,0.0,"(2,[0],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])",74.234375
45,152514,66,75,84,74,41,74,71,80,71,77,70,75,81,76,76,70,79,77,73,73,68,75,62,32,74,74,73,26,46,38,13,13,14,16,12,172,157,29,medium,low,76,173,157,30,2,3,75,76,58,50,54,72,72,76,48,76,71,77,76,74,72,74,74,66,83,74,73,41,77,69,74,76,78,73,70,16,13,14,13,12,medium,medium,0.0,0.0,2.0,0.0,"(2,[0],[1.0])","(2,[0],[1.0])","(2,[],[])","(2,[0],[1.0])",68.03762122273152
46,153938,50,76,80,56,76,70,43,73,63,57,71,75,64,60,68,75,55,66,75,81,76,59,68,82,65,71,59,78,80,77,13,16,8,6,6,180,181,32,medium,medium,76,180,181,34,3,3,75,73,78,77,80,68,75,65,82,71,80,80,70,71,64,55,75,76,55,68,75,76,66,56,59,63,57,59,43,6,13,8,16,6,medium,medium,0.0,0.0,0.0,0.0,"(2,[0],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])",52.22815170940172
47,190824,83,72,75,42,60,69,55,75,72,62,64,72,85,82,83,71,79,71,52,74,57,57,70,65,69,69,42,72,71,73,8,11,12,6,6,177,161,23,high,medium,75,179,161,25,3,3,74,74,72,73,72,70,71,75,69,69,66,75,72,68,85,82,80,66,79,83,60,60,73,42,66,72,60,42,55,6,8,12,11,6,high,medium,1.0,1.0,0.0,0.0,"(2,[1],[1.0])","(2,[1],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])",81.59785037878788
48,199354,81,74,71,72,55,78,70,76,79,82,73,75,78,78,74,71,76,75,63,69,71,69,70,37,68,77,71,23,23,25,13,7,7,9,9,180,172,27,high,medium,81,180,161,28,3,4,82,81,24,26,24,69,81,81,38,76,76,74,77,70,78,78,74,73,75,74,65,68,83,85,82,83,78,79,79,10,14,8,8,10,high,medium,1.0,1.0,0.0,0.0,"(2,[1],[1.0])","(2,[1],[1.0])","(2,[0],[1.0])","(2,[0],[1.0])",78.48849206349207
49,201305,67,78,67,51,73,69,48,60,55,46,69,65,68,72,69,78,71,61,75,74,77,57,74,80,51,61,51,83,86,80,15,6,15,15,7,187,159,24,low,high,79,185,159,26,2,2,65,60,80,80,83,78,78,51,79,61,61,67,69,69,68,72,74,77,71,69,75,77,61,51,57,55,46,51,48,15,15,15,6,7,low,high,2.0,2.0,1.0,1.0,"(2,[],[])","(2,[],[])","(2,[1],[1.0])","(2,[1],[1.0])",67.1266376989556
